ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	RememberResp	KnowResp	NewResp	FontStyle	OldResp	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.Duration	IntroButtonMap.StartTime	IntroButtonMap.FinishTime	IntroButtonMap.RESP	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.Duration	GetReady.StartTime	GetReady.FinishTime	GetReady.RESP	GetReady.OnsetToOnsetTime	ACC_For_NewPlace	ACC_For_NewFace	Percent_Of_OldFace_Rated_As_Know	Percent_Of_OldFace_Rated_As_Remember	Percent_Of_OldPlace_Rated_As_Know	Percent_Of_OldPlace_Rated_As_Remember	Avg_RT_For_New_RESP_To_NewPlace	Avg_RT_For_New_RESP_To_NewFace	Avg_RT_For_Know_RESP_To_OldPlace	Avg_RT_For_Know_RESP_To_OldFace	Avg_RT_For_Remember_RESP_To_OldPlace	Avg_RT_For_Remember_RESP_To_OldFace	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	ReadyList	Procedure	Stimulus	SyncSlideDur	ReadyList.Cycle	ReadyList.Sample	Running	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.Duration	SyncSlide.StartTime	SyncSlide.FinishTime	SyncSlide.RESP	SyncSlide.OnsetToOnsetTime	Run1	StimType	VFDuration	SessionSelectionList	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	PreStimFix.OnsetDelay	PreStimFix.OnsetTime	PreStimFix.DurationError	PreStimFix.Duration	PreStimFix.StartTime	PreStimFix.FinishTime	PreStimFix.OnsetToOnsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.Duration	Stim.StartTime	Stim.FinishTime	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Stim.OnsetToOnsetTime	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Fix.Duration	Fix.StartTime	Fix.FinishTime	Fix.OnsetToOnsetTime	Block
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0	1	InitialTR	3	2000	1	1	ReadyList	6	8610	-7	2000	8504	10503	""	0																																		1
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0	2	InitialTR	2	2000	1	2	ReadyList	5	10609	-6	2000	10504	12503	""	0																																		2
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0	3	InitialTR	1	2000	1	3	ReadyList	4	12608	-5	2000	12504	14503	""	0																																		3
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0	4	InitialTR	+	1000	1	4	ReadyList	3	14607	-4	1000	14504	15503	""	0																																		4
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	FC_024_F12.png				SessionSelectionList										oldface	0	2	2	2	1	3	15607	2	1000	15504	15609	999	2	16606	-1	2000	15634	18605	17564	0	958	3	12	2013	13	18619	-14	1000	18605	19605	0	5
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	F64.bmp				SessionSelectionList										newface	2000	2	2	2	2	13	19619	2	1000	19607	19621	999	12	20618	-1	2000	19659	22617	21707	0	1089	1	3	2013	13	22631	-14	1000	22617	23617	0	6
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	FC_022_F11.png				SessionSelectionList										oldface	1000	2	2	2	3	12	23630	3	1000	23619	23633	1000	12	24630	-1	2000	23660	26629	26259	1	1629	2	12	2012	12	26642	-13	1000	26629	27629	0	7
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	p13.1.jpg				SessionSelectionList										newplace	2000	2	2	2	4	25	27655	3	1000	27631	27658	987	12	28642	-1	2000	27671	30641	29475	1	833	3	3	2012	12	30654	-13	1000	30641	31641	0	8
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	PL_026_SCENE_24.png				SessionSelectionList										oldplace	0	2	2	2	5	12	31654	2	1000	31643	31656	999	11	32653	-1	2000	31677	34652	33619	1	966	1	12	2013	13	34666	-14	1000	34652	35652	0	9
REC090512	103111_fnca	2	1	1	-1143936076	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.195	7	123	1	2	3	Verdana	12	REC Stimuli\	39	6144	-999999	-1	6105	6604	{SPACE}	0	20	6624	-21	2000	6605	8503	""	1986	0.583333333333333	0.666666666666667	42.8571428571429	57.1428571428571	11.1111111111111	88.8888888888889	1142	1239.125	1928	1699	1070.375	908.75	12	208170	-999999	208160	0		RecMemTrialsPROC	F79.bmp				SessionSelectionList										newface	3000	2	2	2	6	13	35666	2	1000	35654	35668	999	12	36665	-1	2000	35703	38664	37755	1	1090	3	3	2013	13	38678	-14	1000	38664	39664	0	10
