ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	Target	Nontarget	FontStyle	RunTrialNumber[Session]	TrialsPerRun[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	ConsecNonResp[Session]	StimuliDir	ACC_2_Back_Body	Avg_RT_For_Correct_Trials_2_Back_Body	ACC_0_Back_Body	Avg_RT_For_Correct_Trials_0_Back_Body	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Place	Avg_RT_For_Correct_Trials_2_Back_Place	ACC_0_Back_Place	Avg_RT_For_Correct_Trials_0_Back_Place	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	SessionSelectionList	Procedure[Block]	Stimulus[Block]	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Cue2Back.OnsetToOnsetTime	Run1Block1	TargetType	CorrectResponse	StimType	BlockType	RunTrialNumber[Block]	TrialsPerRun[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ConsecNonResp[Block]	ControlAcc	ConsecSameResp	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Stim.OnsetToOnsetTime	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Fix.OnsetToOnsetTime	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	CueTarget.OnsetToOnsetTime	Run1Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	Fix15sec.OnsetToOnsetTime	Run1Block3	Run1Block4	Run1Block5	Run1Block6	Run1Block7	Run1Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	Trial
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	104	7489	-999999	0	33	8356	-999999	0																																																	1	InitialTR	4	1	ReadyList	1	1	15	22657	-16	24641	0	1
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	104	7489	-999999	0	33	8356	-999999	0																																																	1	InitialTR	3	2	ReadyList	1	2	14	24656	-15	26641	0	2
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	104	7489	-999999	0	33	8356	-999999	0																																																	1	InitialTR	2	3	ReadyList	1	3	13	26655	-14	28641	0	3
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	104	7489	-999999	0	33	8356	-999999	0																																																	1	InitialTR	1	4	ReadyList	1	4	12	28654	-13	30641	0	4
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	23	Cue2BackPROC	""	2	2	2	SessionSelectionList									12	30654	-13	0																																													2												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	24	TrialsPROC	TO_014_TOOL14_BA.png	2	2	3	SessionSelectionList														nonlure	3	Tools	2-Back	2	80	1	0	0	0	1	52	35278	3	14	84	33226	-1	33701	1	475	3	3	2052	66	35292	-67	0																3												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	24	TrialsPROC	TO_013_TOOL13_BA.png	2	2	4	SessionSelectionList														nonlure	3	Tools	2-Back	3	80	2	0	0	0	2	39	37824	2	14	59	35785	-1	36349	1	564	3	3	2039	53	37838	-54	0																4												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	24	TrialsPROC	TO_016_TOOL16_BA.png	2	2	5	SessionSelectionList														nonlure	3	Tools	2-Back	4	80	3	0	0	0	3	39	40383	1	14	59	38344	-1	38985	1	641	3	3	2039	53	40397	-54	0																5												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	24	TrialsPROC	TO_014_TOOL14_BA.png	2	2	6	SessionSelectionList														lure	3	Tools	2-Back	5	80	4	0	0	0	4	39	42955	2	14	72	40916	-1	41958	1	1042	3	3	2039	53	42969	-54	0																6												
WM080112	103111_fnca	2	1	1	-151089282	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	878.6	1	726.1	1	1068	1	552.6	1	893.4	1	671.4	0.9	743.555555555556	1	624.2	12	315912	3	315901	27	39	315939	-999999	315915	0	24	TrialsPROC	TO_016_TOOL16_BA.png	2	2	7	SessionSelectionList														target	2	Tools	2-Back	6	80	5	0	0	0	1	39	45514	2	14	59	43475	-1	44762	1	1287	2	2	2039	53	45528	-54	0																7												
